relation,layer,head,accuracy_select,n_correct_select,n_total_select,accuracy_test,n_correct_test,n_total_test,accuracy_dev,n_correct_dev,n_total_dev
object_to_verb,5,9,0.07463369963369963,326,4368,0.08093023255813954,87,1075,0.07314814814814814,79,1080
object_to_verb,5,10,0.14858058608058608,649,4368,0.16744186046511628,180,1075,0.14444444444444443,156,1080
object_to_verb,5,11,0.08836996336996338,386,4368,0.07441860465116279,80,1075,0.08981481481481482,97,1080
object_to_verb,6,0,0.44642857142857145,1950,4368,0.413953488372093,445,1075,0.4222222222222222,456,1080
object_to_verb,6,1,0.023809523809523808,104,4368,0.023255813953488372,25,1075,0.020370370370370372,22,1080
object_to_verb,6,2,0.044413919413919416,194,4368,0.04372093023255814,47,1075,0.03425925925925926,37,1080
object_to_verb,6,3,0.10989010989010989,480,4368,0.10697674418604651,115,1075,0.09814814814814815,106,1080
object_to_verb,6,4,0.2509157509157509,1096,4368,0.22697674418604652,244,1075,0.2601851851851852,281,1080
object_to_verb,6,5,0.2326007326007326,1016,4368,0.2344186046511628,252,1075,0.25277777777777777,273,1080
object_to_verb,6,6,0.10347985347985347,452,4368,0.11813953488372093,127,1075,0.08796296296296297,95,1080
object_to_verb,6,7,0.09317765567765568,407,4368,0.08930232558139535,96,1075,0.10277777777777777,111,1080
object_to_verb,6,8,0.37614468864468864,1643,4368,0.4027906976744186,433,1075,0.3814814814814815,412,1080
object_to_verb,6,9,0.00434981684981685,19,4368,0.0037209302325581397,4,1075,0.000925925925925926,1,1080
object_to_verb,6,10,0.021291208791208792,93,4368,0.021395348837209303,23,1075,0.025,27,1080
object_to_verb,6,11,0.6531593406593407,2853,4368,0.6167441860465116,663,1075,0.6481481481481481,700,1080
object_to_verb,7,0,0.5258699633699634,2297,4368,0.5572093023255814,599,1075,0.5194444444444445,561,1080
object_to_verb,7,1,0.07875457875457875,344,4368,0.06976744186046512,75,1075,0.08425925925925926,91,1080
object_to_verb,7,2,0.05334249084249084,233,4368,0.053023255813953486,57,1075,0.06574074074074074,71,1080
object_to_verb,7,3,0.0647893772893773,283,4368,0.06976744186046512,75,1075,0.062037037037037036,67,1080
object_to_verb,7,4,0.38621794871794873,1687,4368,0.37209302325581395,400,1075,0.35185185185185186,380,1080
object_to_verb,7,5,0.027930402930402932,122,4368,0.029767441860465118,32,1075,0.03333333333333333,36,1080
object_to_verb,7,6,0.07898351648351648,345,4368,0.07162790697674419,77,1075,0.07592592592592592,82,1080
object_to_verb,7,7,0.015567765567765568,68,4368,0.01581395348837209,17,1075,0.017592592592592594,19,1080
object_to_verb,7,8,0.5547161172161172,2423,4368,0.5506976744186046,592,1075,0.5574074074074075,602,1080
object_to_verb,7,9,0.2934981684981685,1282,4368,0.2641860465116279,284,1075,0.2851851851851852,308,1080
object_to_verb,7,10,0.002976190476190476,13,4368,0.0018604651162790699,2,1075,0.001851851851851852,2,1080
object_to_verb,7,11,0.017628205128205128,77,4368,0.01581395348837209,17,1075,0.008333333333333333,9,1080
object_to_verb,8,0,0.025183150183150184,110,4368,0.03162790697674418,34,1075,0.03148148148148148,34,1080
object_to_verb,8,1,0.003891941391941392,17,4368,0.0037209302325581397,4,1075,0.003703703703703704,4,1080
object_to_verb,8,2,0.11698717948717949,511,4368,0.10511627906976745,113,1075,0.10555555555555556,114,1080
object_to_verb,8,3,0.021749084249084248,95,4368,0.024186046511627906,26,1075,0.025,27,1080
object_to_verb,8,4,0.6623168498168498,2893,4368,0.6548837209302325,704,1075,0.6416666666666667,693,1080
object_to_verb,8,5,0.3756868131868132,1641,4368,0.3395348837209302,365,1075,0.35,378,1080
object_to_verb,8,6,0.011446886446886446,50,4368,0.011162790697674419,12,1075,0.009259259259259259,10,1080
object_to_verb,8,7,0.5105311355311355,2230,4368,0.533953488372093,574,1075,0.4962962962962963,536,1080
object_to_verb,8,8,0.08035714285714286,351,4368,0.08093023255813954,87,1075,0.08796296296296297,95,1080
object_to_verb,8,9,0.0641025641025641,280,4368,0.06046511627906977,65,1075,0.06944444444444445,75,1080
object_to_verb,8,10,0.160485347985348,701,4368,0.15069767441860465,162,1075,0.1425925925925926,154,1080
object_to_verb,8,11,0.11996336996336997,524,4368,0.10883720930232559,117,1075,0.09444444444444444,102,1080
object_to_verb,9,0,0.26282051282051283,1148,4368,0.2567441860465116,276,1075,0.22037037037037038,238,1080
object_to_verb,9,1,0.02152014652014652,94,4368,0.021395348837209303,23,1075,0.017592592592592594,19,1080
object_to_verb,9,2,0.15705128205128205,686,4368,0.13488372093023257,145,1075,0.1287037037037037,139,1080
object_to_verb,9,3,0.5199175824175825,2271,4368,0.5004651162790698,538,1075,0.5101851851851852,551,1080
object_to_verb,9,4,0.048763736263736264,213,4368,0.04186046511627907,45,1075,0.053703703703703705,58,1080
object_to_verb,9,5,0.17513736263736263,765,4368,0.17209302325581396,185,1075,0.1712962962962963,185,1080
object_to_verb,9,6,0.13507326007326007,590,4368,0.13023255813953488,140,1075,0.13703703703703704,148,1080
object_to_verb,9,7,0.07348901098901099,321,4368,0.06976744186046512,75,1075,0.06018518518518518,65,1080
object_to_verb,9,8,0.08470695970695971,370,4368,0.07720930232558139,83,1075,0.07222222222222222,78,1080
object_to_verb,9,9,0.04716117216117216,206,4368,0.052093023255813956,56,1075,0.041666666666666664,45,1080
object_to_verb,9,10,0.12431318681318682,543,4368,0.13395348837209303,144,1075,0.12407407407407407,134,1080
object_to_verb,9,11,0.011446886446886446,50,4368,0.0065116279069767444,7,1075,0.007407407407407408,8,1080
object_to_verb,10,0,0.10004578754578755,437,4368,0.09767441860465116,105,1075,0.09166666666666666,99,1080
object_to_verb,10,1,0.14514652014652016,634,4368,0.12744186046511627,137,1075,0.1388888888888889,150,1080
object_to_verb,10,2,0.08058608058608059,352,4368,0.08465116279069768,91,1075,0.08611111111111111,93,1080
object_to_verb,10,3,0.07554945054945054,330,4368,0.06976744186046512,75,1075,0.06388888888888888,69,1080
object_to_verb,10,4,0.23946886446886448,1046,4368,0.2586046511627907,278,1075,0.24074074074074073,260,1080
object_to_verb,10,5,0.12179487179487179,532,4368,0.09767441860465116,105,1075,0.11481481481481481,124,1080
object_to_verb,10,6,0.1636904761904762,715,4368,0.15813953488372093,170,1075,0.15555555555555556,168,1080
object_to_verb,10,7,0.1581959706959707,691,4368,0.14418604651162792,155,1075,0.1361111111111111,147,1080
object_to_verb,10,8,0.005494505494505495,24,4368,0.005581395348837209,6,1075,0.005555555555555556,6,1080
object_to_verb,10,9,0.486492673992674,2125,4368,0.5060465116279069,544,1075,0.48333333333333334,522,1080
object_to_verb,10,10,0.08104395604395605,354,4368,0.08372093023255814,90,1075,0.08055555555555556,87,1080
object_to_verb,10,11,0.4592490842490842,2006,4368,0.4669767441860465,502,1075,0.45740740740740743,494,1080
object_to_verb,11,0,0.028388278388278388,124,4368,0.037209302325581395,40,1075,0.020370370370370372,22,1080
object_to_verb,11,1,0.13713369963369965,599,4368,0.13953488372093023,150,1075,0.13055555555555556,141,1080
object_to_verb,11,2,0.09958791208791208,435,4368,0.09674418604651162,104,1075,0.10555555555555556,114,1080
object_to_verb,11,3,0.21611721611721613,944,4368,0.19906976744186047,214,1075,0.2222222222222222,240,1080
object_to_verb,11,4,0.04739010989010989,207,4368,0.05023255813953489,54,1075,0.05185185185185185,56,1080
object_to_verb,11,5,0.05105311355311355,223,4368,0.04372093023255814,47,1075,0.058333333333333334,63,1080
object_to_verb,11,6,0.10554029304029304,461,4368,0.1013953488372093,109,1075,0.10555555555555556,114,1080
object_to_verb,11,7,0.03914835164835165,171,4368,0.04930232558139535,53,1075,0.03518518518518519,38,1080
object_to_verb,11,8,0.08630952380952381,377,4368,0.08930232558139535,96,1075,0.08518518518518518,92,1080
object_to_verb,11,9,0.21428571428571427,936,4368,0.20744186046511628,223,1075,0.2212962962962963,239,1080
object_to_verb,11,10,0.20764652014652016,907,4368,0.23162790697674418,249,1075,0.21203703703703702,229,1080
object_to_verb,11,11,0.36538461538461536,1596,4368,0.37209302325581395,400,1075,0.33055555555555555,357,1080
subject_to_verb,0,0,0.16118789689951438,863,5354,0.1546003016591252,205,1326,0.15693430656934307,215,1370
subject_to_verb,0,1,0.06014194994396713,322,5354,0.058823529411764705,78,1326,0.06861313868613139,94,1370
subject_to_verb,0,2,0.14979454613373178,802,5354,0.13197586726998492,175,1326,0.12700729927007298,174,1370
subject_to_verb,0,3,0.45666791184161376,2445,5354,0.44268476621417796,587,1326,0.4824817518248175,661,1370
subject_to_verb,0,4,0.2809114680612626,1504,5354,0.2812971342383107,373,1326,0.25547445255474455,350,1370
subject_to_verb,0,5,0.07807246918192005,418,5354,0.07315233785822021,97,1326,0.06788321167883211,93,1370
subject_to_verb,0,6,0.13167725065371685,705,5354,0.1282051282051282,170,1326,0.11313868613138686,155,1370
subject_to_verb,0,7,0.12476652969742248,668,5354,0.1297134238310709,172,1326,0.1335766423357664,183,1370
subject_to_verb,0,8,0.05080313784086664,272,5354,0.043740573152337855,58,1326,0.050364963503649635,69,1370
subject_to_verb,0,9,0.07396339185655584,396,5354,0.0641025641025641,85,1326,0.061313868613138686,84,1370
subject_to_verb,0,10,0.0480014942099365,257,5354,0.0444947209653092,59,1326,0.051824817518248176,71,1370
subject_to_verb,0,11,0.05547254389241688,297,5354,0.05580693815987934,74,1326,0.05401459854014599,74,1370
subject_to_verb,1,0,0.35151288756070226,1882,5354,0.3310708898944193,439,1326,0.362043795620438,496,1370
subject_to_verb,1,1,0.09152035861038475,490,5354,0.08974358974358974,119,1326,0.09781021897810219,134,1370
subject_to_verb,1,2,0.01307433694434068,70,5354,0.015082956259426848,20,1326,0.015328467153284672,21,1370
subject_to_verb,1,3,0.029323870003735524,157,5354,0.026395173453996983,35,1326,0.03868613138686131,53,1370
subject_to_verb,1,4,0.2599925289503175,1392,5354,0.28431372549019607,377,1326,0.2635036496350365,361,1370
subject_to_verb,1,5,0.03287261860291371,176,5354,0.029411764705882353,39,1326,0.027737226277372264,38,1370
subject_to_verb,1,6,0.11673515128875607,625,5354,0.11689291101055807,155,1326,0.1072992700729927,147,1370
subject_to_verb,1,7,0.02521479267837131,135,5354,0.024132730015082957,32,1326,0.025547445255474453,35,1370
subject_to_verb,1,8,0.05734030631303698,307,5354,0.043740573152337855,58,1326,0.04525547445255475,62,1370
subject_to_verb,1,9,0.023347030257751214,125,5354,0.021870286576168928,29,1326,0.024817518248175182,34,1370
subject_to_verb,1,10,0.023160254015689205,124,5354,0.02262443438914027,30,1326,0.032846715328467155,45,1370
subject_to_verb,1,11,0.010459469555472544,56,5354,0.010558069381598794,14,1326,0.00583941605839416,8,1370
subject_to_verb,2,0,0.10534180052297348,564,5354,0.11463046757164404,152,1326,0.12992700729927006,178,1370
subject_to_verb,2,1,0.03735524841240194,200,5354,0.033182503770739065,44,1326,0.03868613138686131,53,1370
subject_to_verb,2,2,0.45536047814717967,2438,5354,0.44268476621417796,587,1326,0.48175182481751827,660,1370
subject_to_verb,2,3,0.10272693313410534,550,5354,0.09803921568627451,130,1326,0.10875912408759124,149,1370
subject_to_verb,2,4,0.4695554725438924,2514,5354,0.46681749622926094,619,1326,0.48394160583941603,663,1370
subject_to_verb,2,5,0.07340306313036982,393,5354,0.0746606334841629,99,1326,0.07591240875912408,104,1370
subject_to_verb,2,6,0.03810235338064998,204,5354,0.03167420814479638,42,1326,0.043795620437956206,60,1370
subject_to_verb,2,7,0.009525588345162496,51,5354,0.008295625942684766,11,1326,0.010948905109489052,15,1370
subject_to_verb,2,8,0.08610384759058648,461,5354,0.08446455505279035,112,1326,0.09708029197080292,133,1370
subject_to_verb,2,9,0.1438177063877475,770,5354,0.14328808446455504,190,1326,0.15255474452554746,209,1370
subject_to_verb,2,10,0.01867762420620097,100,5354,0.02262443438914027,30,1326,0.024817518248175182,34,1370
subject_to_verb,2,11,0.014942099364960777,80,5354,0.013574660633484163,18,1326,0.012408759124087591,17,1370
subject_to_verb,3,0,0.01849084796413896,99,5354,0.021870286576168928,29,1326,0.01824817518248175,25,1370
subject_to_verb,3,1,0.09077325364213672,486,5354,0.09049773755656108,120,1326,0.10291970802919707,141,1370
subject_to_verb,3,2,0.10272693313410534,550,5354,0.10407239819004525,138,1326,0.10656934306569343,146,1370
subject_to_verb,3,3,0.08330220395965633,446,5354,0.09351432880844646,124,1326,0.09635036496350365,132,1370
subject_to_verb,3,4,0.04519985057900635,242,5354,0.04147812971342383,55,1326,0.05401459854014599,74,1370
subject_to_verb,3,5,0.054912215166230856,294,5354,0.05203619909502263,69,1326,0.04744525547445255,65,1370
subject_to_verb,3,6,0.1017930519237953,545,5354,0.10105580693815988,134,1326,0.1072992700729927,147,1370
subject_to_verb,3,7,0.11449383638401195,613,5354,0.1229260935143288,163,1326,0.12992700729927006,178,1370
subject_to_verb,3,8,0.11299962644751588,605,5354,0.1191553544494721,158,1326,0.12773722627737227,175,1370
subject_to_verb,3,9,0.11991034740381024,642,5354,0.12518853695324283,166,1326,0.1416058394160584,194,1370
subject_to_verb,3,10,0.21647366454986924,1159,5354,0.2066365007541478,274,1326,0.23138686131386862,317,1370
subject_to_verb,3,11,0.3442286141202839,1843,5354,0.3288084464555053,436,1326,0.37445255474452555,513,1370
subject_to_verb,4,0,0.17052670900261488,913,5354,0.16515837104072398,219,1326,0.19927007299270072,273,1370
subject_to_verb,4,1,0.10347403810235338,554,5354,0.1138763197586727,151,1326,0.12335766423357664,169,1370
subject_to_verb,4,2,0.0672394471423235,360,5354,0.06561085972850679,87,1326,0.08248175182481751,113,1370
subject_to_verb,4,3,0.3167725065371685,1696,5354,0.3152337858220211,418,1326,0.3554744525547445,487,1370
subject_to_verb,4,4,0.07396339185655584,396,5354,0.08597285067873303,114,1326,0.09124087591240876,125,1370
subject_to_verb,4,5,0.08703772880089652,466,5354,0.09954751131221719,132,1326,0.09854014598540146,135,1370
subject_to_verb,4,6,0.12345909600298842,661,5354,0.1244343891402715,165,1326,0.13138686131386862,180,1370
subject_to_verb,4,7,0.1288756070227867,690,5354,0.13122171945701358,174,1326,0.13722627737226278,188,1370
subject_to_verb,4,8,0.3571161748225626,1912,5354,0.33408748114630465,443,1326,0.38175182481751824,523,1370
subject_to_verb,4,9,0.11038475905864774,591,5354,0.12368024132730016,164,1326,0.11970802919708029,164,1370
subject_to_verb,4,10,0.057527082555098995,308,5354,0.058069381598793365,77,1326,0.06715328467153285,92,1370
subject_to_verb,4,11,0.09787075084049308,524,5354,0.09577677224736049,127,1326,0.10072992700729927,138,1370
subject_to_verb,5,0,0.537915577138588,2880,5354,0.5346907993966817,709,1326,0.5642335766423358,773,1370
subject_to_verb,5,1,0.4592827792304819,2459,5354,0.444947209653092,590,1326,0.4854014598540146,665,1370
subject_to_verb,5,2,0.28147179678744866,1507,5354,0.2654600301659125,352,1326,0.2941605839416058,403,1370
subject_to_verb,5,3,0.09114680612626073,488,5354,0.09049773755656108,120,1326,0.10291970802919707,141,1370
subject_to_verb,5,4,0.1096376540903997,587,5354,0.1191553544494721,158,1326,0.13138686131386862,180,1370
subject_to_verb,5,5,0.43257377661561447,2316,5354,0.4253393665158371,564,1326,0.4481751824817518,614,1370
subject_to_verb,5,6,0.07284273440418379,390,5354,0.06787330316742081,90,1326,0.07226277372262774,99,1370
subject_to_verb,5,7,0.24971983563690697,1337,5354,0.23453996983408748,311,1326,0.24671532846715327,338,1370
subject_to_verb,5,8,0.3404930892790437,1823,5354,0.3393665158371041,450,1326,0.35912408759124087,492,1370
subject_to_verb,5,9,0.049495704146432576,265,5354,0.05279034690799397,70,1326,0.059854014598540145,82,1370
subject_to_verb,5,10,0.14194994396712737,760,5354,0.12895927601809956,171,1326,0.14817518248175182,203,1370
subject_to_verb,5,11,0.13223757937990288,708,5354,0.1425339366515837,189,1326,0.15401459854014599,211,1370
subject_to_verb,6,0,0.12140455734030631,650,5354,0.13122171945701358,174,1326,0.14744525547445256,202,1370
subject_to_verb,6,1,0.5554725438924168,2974,5354,0.5588235294117647,741,1326,0.5693430656934306,780,1370
subject_to_verb,6,2,0.0635039223010833,340,5354,0.06184012066365008,82,1326,0.06350364963503649,87,1370
subject_to_verb,6,3,0.13765409039970117,737,5354,0.138763197586727,184,1326,0.15693430656934307,215,1370
subject_to_verb,6,4,0.0825550989914083,442,5354,0.07541478129713423,100,1326,0.07226277372262774,99,1370
subject_to_verb,6,5,0.13186402689577886,706,5354,0.13273001508295626,176,1326,0.15401459854014599,211,1370
subject_to_verb,6,6,0.12103100485618229,648,5354,0.10633484162895927,141,1326,0.11678832116788321,160,1370
subject_to_verb,6,7,0.16398954053044454,878,5354,0.14630467571644043,194,1326,0.17883211678832117,245,1370
subject_to_verb,6,8,0.09899140829286515,530,5354,0.09577677224736049,127,1326,0.1072992700729927,147,1370
subject_to_verb,6,9,0.4519985057900635,2420,5354,0.4419306184012066,586,1326,0.4737226277372263,649,1370
subject_to_verb,6,10,0.2635412775494957,1411,5354,0.24811463046757165,329,1326,0.26934306569343064,369,1370
subject_to_verb,6,11,0.134478894284647,720,5354,0.14027149321266968,186,1326,0.1562043795620438,214,1370
subject_to_verb,7,0,0.10235338064998133,548,5354,0.09502262443438914,126,1326,0.10583941605839416,145,1370
subject_to_verb,7,1,0.5156892043332089,2761,5354,0.5007541478129713,664,1326,0.5357664233576642,734,1370
subject_to_verb,7,2,0.1516623085543519,812,5354,0.14630467571644043,194,1326,0.15182481751824817,208,1370
subject_to_verb,7,3,0.3149047441165484,1686,5354,0.3076923076923077,408,1326,0.34014598540145985,466,1370
subject_to_verb,7,4,0.13989540530444527,749,5354,0.13800904977375567,183,1326,0.14817518248175182,203,1370
subject_to_verb,7,5,0.2538289129622712,1359,5354,0.2594268476621418,344,1326,0.2562043795620438,351,1370
subject_to_verb,7,6,0.15296974224878596,819,5354,0.15987933634992457,212,1326,0.16934306569343066,232,1370
subject_to_verb,7,7,0.3686963018304072,1974,5354,0.35671191553544496,473,1326,0.38175182481751824,523,1370
subject_to_verb,7,8,0.13634665670526708,730,5354,0.13650075414781296,181,1326,0.1437956204379562,197,1370
subject_to_verb,7,9,0.12028389988793425,644,5354,0.12895927601809956,171,1326,0.13941605839416057,191,1370
subject_to_verb,7,10,0.4340679865521106,2324,5354,0.41855203619909503,555,1326,0.4583941605839416,628,1370
subject_to_verb,7,11,0.3982069480762047,2132,5354,0.39441930618401205,523,1326,0.41605839416058393,570,1370
subject_to_verb,8,0,0.10720956294359357,574,5354,0.10784313725490197,143,1326,0.10072992700729927,138,1370
subject_to_verb,8,1,0.42286141202839,2264,5354,0.4019607843137255,533,1326,0.45474452554744527,623,1370
subject_to_verb,8,2,0.16847217033993275,902,5354,0.1689291101055807,224,1326,0.18759124087591242,257,1370
subject_to_verb,8,3,0.46245797534553607,2476,5354,0.4675716440422323,620,1326,0.4656934306569343,638,1370
subject_to_verb,8,4,0.23328352633545013,1249,5354,0.2458521870286576,326,1326,0.24306569343065693,333,1370
subject_to_verb,8,5,0.11225252147926784,601,5354,0.1191553544494721,158,1326,0.13065693430656936,179,1370
subject_to_verb,8,6,0.4443406798655211,2379,5354,0.43137254901960786,572,1326,0.47956204379562045,657,1370
subject_to_verb,8,7,0.10459469555472543,560,5354,0.1085972850678733,144,1326,0.10656934306569343,146,1370
subject_to_verb,8,8,0.27082555098991407,1450,5354,0.26244343891402716,348,1326,0.27956204379562044,383,1370
subject_to_verb,8,9,0.27213298468434816,1457,5354,0.26395173453996984,350,1326,0.28029197080291973,384,1370
subject_to_verb,8,10,0.4017556966753829,2151,5354,0.3770739064856712,500,1326,0.4218978102189781,578,1370
subject_to_verb,8,11,0.1807994023160254,968,5354,0.1870286576168929,248,1326,0.20072992700729927,275,1370
subject_to_verb,9,0,0.3117295480014942,1669,5354,0.31070889894419307,412,1326,0.3175182481751825,435,1370
subject_to_verb,9,1,0.41277549495704147,2210,5354,0.40120663650075417,532,1326,0.4416058394160584,605,1370
subject_to_verb,9,2,0.2626073963391857,1406,5354,0.2616892911010558,347,1326,0.28175182481751826,386,1370
subject_to_verb,9,3,0.18117295480014942,970,5354,0.18552036199095023,246,1326,0.19708029197080293,270,1370
subject_to_verb,9,4,0.5035487485991782,2696,5354,0.5007541478129713,664,1326,0.5218978102189781,715,1370
subject_to_verb,9,5,0.14363093014568548,769,5354,0.1282051282051282,170,1326,0.14525547445255474,199,1370
